lat,lng,seconds
38.3040883,-85.8335085,6661
38.3041061,-85.8340018,6694
38.3012383,-85.8304975,6561
38.3014735,-85.8300464,6596
38.2987442,-85.83654,7252
38.2987386,-85.8368314,7271
38.37841,-85.781715,9195
38.379311,-85.783569,9161
38.272534,-85.787766,4710
38.273226,-85.787361,4773
38.3000513,-85.8135384,7610
38.3013667,-85.8113098,7700
38.3497914,-85.7961585,8630
38.3492962,-85.796421,8585
38.2817774,-85.8399327,7674
38.2819814,-85.8389719,7610
38.2836649,-85.8321664,7096
38.2826772,-85.831441,7009
38.304032,-85.814994,7326
38.3044263,-85.814734,7313
38.2938658,-85.7997887,7613
38.294249,-85.8001336,7634
38.2965986,-85.7999848,7588
38.2968213,-85.8001956,7611
38.272909,-85.793056,4661
38.273521,-85.792704,4717
38.272973,-85.791181,4694
38.273709,-85.790758,4761
38.3754784,-85.7852154,9056
38.3758853,-85.7855809,9064
38.2996841,-85.8115177,7654
38.2997821,-85.8113369,7640
38.2962999,-85.8018802,7625
38.2967083,-85.8011262,7656
38.304182,-85.785036,7469
38.3040954,-85.7851949,7481
38.3022467,-85.8343487,6869
38.3015458,-85.8352687,6954
38.2736,-85.809895,5183
38.274318,-85.809974,5123
38.3474787,-85.8196725,7575
38.3475765,-85.8196555,7583
38.3412477,-85.8170158,7331
38.3434602,-85.8167306,7292
38.2979079,-85.8118718,7678
38.2979855,-85.8117276,7667
38.2820207,-85.829019,7013
38.2816291,-85.8288452,7052
38.312222,-85.806374,7795
38.3061617,-85.8393205,7232
38.3054329,-85.838565,7158
38.2998497,-85.8358105,7141
38.2998685,-85.8357813,7139
38.2923179,-85.8155301,7155
38.2921808,-85.8154612,7143
38.312928,-85.79477,7938
38.312602,-85.795533,7951
38.3509084,-85.7934063,8886
38.3509974,-85.7936413,8869
38.290146,-85.81431,7088
38.2906147,-85.8145543,7107
38.3286876,-85.8190226,7111
38.3286982,-85.819152,7120
38.2890283,-85.8095403,7518
38.2904261,-85.8102496,7451
38.2998616,-85.8135869,7625
38.2999382,-85.8134394,7622
38.3640365,-85.7922215,8912
38.272706,-85.8116,5328
38.329065,-85.81079,7732
38.330071,-85.811387,7638
38.3882796,-85.7968812,10073
38.3912074,-85.7994598,10368
38.3534496,-85.7985555,8748
38.3534827,-85.7985939,8745
38.3545853,-85.7955008,8966
38.3546133,-85.7957289,8981
38.274714,-85.792033,4825
38.275066,-85.793637,4806
38.3500398,-85.7948892,8754
38.3501049,-85.7948525,8753
38.2909587,-85.8102566,7440
38.2914644,-85.810707,7389
38.3294272,-85.8174367,7278
38.3293794,-85.8169649,7261
38.3114203,-85.8461805,7874
38.3120955,-85.847284,7967
38.3454125,-85.831634,8409
38.3458634,-85.8311644,8360
38.3533077,-85.7948369,8913
38.353368,-85.7949006,8919
38.3527441,-85.7968437,8907
38.3543364,-85.79649,9041
38.3014741,-85.802558,8065
38.3008104,-85.8018964,8056
38.2812071,-85.82816,7058
38.2811401,-85.8282958,7068
38.2961854,-85.8103654,7682
38.2961736,-85.8103555,7683
38.3762737,-85.8047644,9409
38.37619,-85.8046875,9401
38.2865816,-85.8264148,6496
38.2865579,-85.8264907,6501
38.329489,-85.8354538,7980
38.329547,-85.8346429,7992
38.3005155,-85.8366664,7132
38.3010071,-85.8366612,7110
38.306626,-85.8347918,7164
38.3067193,-85.8347927,7172
38.3135,-85.8305506,7687
38.3141335,-85.8304605,7743
38.2999769,-85.8359011,7127
38.300041,-85.8358008,7118
38.3600678,-85.7825113,9127
38.3599278,-85.7823952,9141
38.3263361,-85.8218868,7292
38.3263823,-85.822428,7328
38.3154331,-85.8449625,8550
38.315042,-85.844082,8632
38.2881672,-85.8120929,7353
38.2882618,-85.8121406,7345
38.3063203,-85.8515894,8471
38.3073952,-85.8504867,8327
38.3520665,-85.7958776,8856
38.3521321,-85.7963049,8828
38.3410294,-85.8207439,7762
38.3410041,-85.8208457,7769
38.328628,-85.814854,7338
38.329731,-85.813377,7473
38.3031834,-85.8039894,7707
38.3031118,-85.8039268,7714
38.2962672,-85.8363743,7322
38.2966862,-85.8363975,7327
38.2993284,-85.8024886,7629
38.299685,-85.8028123,7666
38.3336212,-85.816624,7372
38.3326151,-85.8162162,7341
38.327526,-85.806166,8049
38.3285351,-85.8044147,8018
38.2978042,-85.7940861,7737
38.2989669,-85.7952253,7684
38.3409074,-85.8366009,8113
38.3408911,-85.8379859,8203
38.3332881,-85.8138291,8219
38.3337162,-85.8136231,8211
38.3521239,-85.8116886,8510
38.3518425,-85.8114362,8481
38.3113234,-85.8068053,7791
38.3114793,-85.8067275,7805
38.2947818,-85.8169422,7297
38.296155,-85.816327,7418
38.3251454,-85.801311,7986
38.3252053,-85.8013621,7992
38.3563662,-85.796016,9021
38.3564996,-85.7961351,9035
38.2945873,-85.8341643,7159
38.294919,-85.834171,7186
38.3459418,-85.8188197,7410
38.3447906,-85.819023,7520
38.3068722,-85.8108902,7678
38.3066987,-85.8104993,7652
38.2964649,-85.8000189,7647
38.2946978,-85.8032306,7597
38.27293,-85.836908,8257
38.273268,-85.837875,8326
38.2984774,-85.8017778,7789
38.2977304,-85.8031511,7705
38.31467,-85.811874,7896
38.316872,-85.810878,7931
38.32269,-85.834738,7896
38.322764,-85.832666,7912
38.3015096,-85.8077943,7760
38.3027258,-85.8055958,7843
38.3352788,-85.7902574,8489
38.3377189,-85.7966723,8202
38.3368574,-85.7972682,8120
38.3351556,-85.7920961,8166
38.3350862,-85.7918856,8169
38.288533,-85.8283482,6736
38.2884349,-85.8283445,6728
38.3153018,-85.799892,7938
38.3151759,-85.800173,7918
38.3064154,-85.8164596,7193
38.3064148,-85.8158152,7235
38.2942055,-85.805699,7573
38.2942275,-85.8056587,7576
38.2823296,-85.8204866,6918
38.2824208,-85.8201113,6945
38.299633,-85.837033,7210
38.300084,-85.837038,7192
38.371592,-85.802806,8885
38.369794,-85.800567,8847
38.2821658,-85.8324851,7089
38.2820883,-85.8324244,7092
38.3374515,-85.8226755,7786
38.335513,-85.821052,8011
38.325847,-85.8219024,7252
38.304868,-85.779259,7336
38.303412,-85.781272,7508
38.3397765,-85.7995646,8145
38.3374668,-85.7988228,8356
38.2940667,-85.8142244,7375
38.2940343,-85.8142834,7370
38.2975616,-85.8001342,7664
38.2991458,-85.7998076,7645
38.347733,-85.807672,8476
38.3474631,-85.8074374,8503
38.2827786,-85.8251599,6811
38.2831631,-85.8241494,6737
38.2925897,-85.8137689,7251
38.2926192,-85.8137572,7253
38.2857831,-85.8235224,6501
38.2854253,-85.8233379,6533
38.3025585,-85.8372041,7010
38.3026398,-85.8372876,7001
38.32988,-85.788581,7883
38.3305064,-85.7894061,7958
38.3133253,-85.8346372,7738
38.313305,-85.8343,7742
38.2856612,-85.8345778,7362
38.2868799,-85.8355663,7482
38.325549,-85.8010736,8010
38.3255011,-85.80081,8011
38.3128513,-85.8271055,7447
38.313643,-85.82707,7513
38.2887183,-85.8244616,6455
38.2887465,-85.8243939,6460
38.353538,-85.7955366,8962
38.3525351,-85.7957573,8892
38.377659,-85.790685,9154
38.3780411,-85.792751,9334
38.3394275,-85.8313901,8232
38.3400948,-85.8311477,8366
38.2814342,-85.8408924,7749
38.2817984,-85.8409053,7779
38.309192,-85.787238,7685
38.310124,-85.784851,7565
38.3280592,-85.8407829,8299
38.3280549,-85.8414153,8340
38.288163,-85.8120068,7361
38.2883173,-85.8120896,7347
38.2962917,-85.800764,7642
38.3479771,-85.7978741,8490
38.3021728,-85.8378126,7061
38.3018501,-85.8375841,7093
38.2987204,-85.7987749,7645
38.29879,-85.798929,7633
38.3407402,-85.8009051,8150
38.3407068,-85.800916,8147
38.2970005,-85.8003653,7594
38.2973071,-85.7998401,7637
38.3009909,-85.8152363,7512
38.3007231,-85.8157449,7542
38.3447526,-85.8195313,7502
38.3447747,-85.8194741,7506
38.3409448,-85.7985469,8220
38.3409761,-85.7986928,8210
38.292594,-85.8137912,7251
38.2816081,-85.8287164,7054
38.273121,-85.789261,4716
38.3406047,-85.7989331,8169
38.3406738,-85.7989115,8175
38.3364595,-85.8253855,8101
38.3365978,-85.8265462,8182
38.3665369,-85.8100105,8820
38.3653737,-85.809626,8718
38.3103984,-85.8152761,8237
38.3084048,-85.8089445,7793
38.299687,-85.788984,7728
38.299475,-85.788864,7747
38.3653582,-85.8106493,8738
38.3020346,-85.8156581,7388
38.3026583,-85.8152575,7401
38.316446,-85.800385,7920
38.317213,-85.800531,7931
38.3321009,-85.8005292,8102
38.3321821,-85.8017445,8070
38.3421792,-85.8080169,8246
38.342105,-85.808147,8236
38.2978692,-85.8250061,6769
38.2977417,-85.8237277,6803
38.2812814,-85.8281989,7051
38.2961975,-85.8162337,7426
38.2948888,-85.8168553,7310
38.285458,-85.8119175,7490
38.286808,-85.812614,7369
38.3024309,-85.809595,7657
38.303266,-85.809221,7680
38.302437,-85.805254,7676
38.30318,-85.803908,7699
38.336007,-85.795236,8210
38.3355293,-85.7954554,8200
38.301439,-85.811265,7627
38.3028,-85.812645,7512
38.2841935,-85.8208104,6801
38.2842821,-85.8208525,6794
38.2751502,-85.797214,4848
38.2752188,-85.7971923,4854
38.2993734,-85.8075373,7645
38.2993637,-85.8075592,7646
38.3258418,-85.8216873,7238
38.3263357,-85.8216701,7278
38.368069,-85.813087,8544
38.3685296,-85.8153558,8705
38.3376789,-85.8232081,7803
38.339243,-85.8231076,7933
38.3135287,-85.819976,6989
38.3136909,-85.8199469,6993
38.3179846,-85.8036849,7918
38.3180077,-85.8031163,7940
38.292141,-85.844878,8019
38.292194,-85.844752,8009
38.2942959,-85.8030839,7564
38.2943365,-85.8030158,7558
38.2909888,-85.8013475,7600
38.2923658,-85.7983907,7646
38.2850937,-85.8176805,7023
38.287558,-85.809977,7527
38.3087367,-85.8443328,7658
38.3086661,-85.8442823,7651
38.3535043,-85.7938794,8847
38.3535828,-85.793727,8835
38.2896203,-85.8301463,6738
38.2897343,-85.8301356,6729
38.2965604,-85.8295737,6719
38.2978231,-85.8276676,6560
38.2785031,-85.8508863,8877
38.2787356,-85.8519371,8948
38.2906218,-85.8264345,6412
38.3499469,-85.8371772,8648
38.3505332,-85.8369545,8699
38.3425565,-85.8236581,8264
38.3425504,-85.823496,8275
38.2965824,-85.8302645,6782
38.2966147,-85.8302979,6785
38.2985336,-85.8038119,7784
38.286807,-85.834076,7528
38.287384,-85.834579,7470
38.3531679,-85.8001158,8694
38.3530736,-85.8002868,8681
38.2852635,-85.8260302,6596
38.2852112,-85.8260359,6594
38.3465071,-85.8200062,7446
38.3464757,-85.8199442,7441
38.3181733,-85.8024675,7952
38.318971,-85.803274,7880
38.3106947,-85.8090146,7825
38.3104921,-85.8093897,7864
38.2965897,-85.8105881,7572
38.2974666,-85.8089591,7701
38.3040869,-85.813042,7422
38.3070209,-85.8202592,7954
38.3309217,-85.7847449,7917
38.3308075,-85.7841119,7875
38.2922092,-85.8105935,7383
38.292469,-85.810121,7421
38.3004108,-85.8294623,6628
38.2999916,-85.8291105,6586
38.325626,-85.813857,7626
38.3257564,-85.8140129,7641
38.2985783,-85.8274181,6645
38.2986208,-85.827536,6637
38.2961627,-85.8102149,7529
38.3018743,-85.8150978,7624
38.3034008,-85.8135483,7477
38.3404467,-85.8270854,8244
38.3404589,-85.8273606,8262
38.3275914,-85.8216407,7345
38.3275788,-85.8223864,7393
38.3000696,-85.7971902,7805
38.3001391,-85.7972935,7796
38.299658,-85.8112238,7627
38.2998558,-85.8108694,7599
38.3323332,-85.8148462,7423
38.3323227,-85.8147545,7429
38.3153897,-85.8080762,7934
38.31591,-85.810128,7903
38.3070894,-85.841928,7419
38.3073261,-85.8421599,7444
38.3399719,-85.8235161,8006
38.369902,-85.797088,8821
38.369613,-85.79748,8816
38.2989227,-85.8343861,7123
38.2989575,-85.8344228,7119
38.2981253,-85.795858,7714
38.2977662,-85.7964695,7672
38.3228322,-85.8162092,7268
38.3227926,-85.8153944,7322
38.314219,-85.802096,7903
38.3149399,-85.8001314,7898
38.2904497,-85.8169125,6919
38.291466,-85.817389,6998
38.3537829,-85.7958387,9046
38.3541074,-85.7957618,9019
38.354034,-85.7991861,8686
38.353707,-85.7995177,8721
38.3303164,-85.8358135,7964
38.3303143,-85.8359125,7963
38.332084,-85.8287909,7802
38.3303083,-85.8302768,8021
38.2832785,-85.8216363,6773
38.2834375,-85.8211288,6808
38.3402676,-85.8358168,8170
38.3398779,-85.8358037,8138
38.313748,-85.832632,7803
38.315154,-85.834063,7828
38.329175,-85.8375494,7953
38.3298007,-85.8385872,8042
38.297226,-85.8332981,7066
38.2969778,-85.8336835,7098
38.3259179,-85.8776391,10744
38.3258968,-85.8771784,10714
38.3411262,-85.8204749,7742
38.3408244,-85.8202113,7773
38.3281741,-85.8192266,7163
38.3281533,-85.8190933,7156
38.2824899,-85.8248246,6831
38.2826671,-85.8249178,6815
38.2881177,-85.8239853,6408
38.2872301,-85.8235362,6433
38.276977,-85.831611,7572
38.277793,-85.832255,7492
38.3115299,-85.8075907,7845
38.3116214,-85.80774,7858
38.2896152,-85.8157483,6984
38.289749,-85.815337,7013
38.3184685,-85.8266298,7703
38.3184697,-85.8261847,7674
38.2835559,-85.8248606,6722
38.2838975,-85.8254134,6704
38.3537279,-85.8131218,8485
38.3535499,-85.8129604,8475
38.2916072,-85.8048806,7551
38.2916615,-85.8049452,7557
38.2972628,-85.7989173,7724
38.297366,-85.7987211,7739
38.3439268,-85.8201419,7558
38.344008,-85.8202078,7566
38.35685,-85.806552,8562
38.3568118,-85.8065189,8566
38.3018143,-85.8364059,7029
38.3019086,-85.8363677,7021
